,Name,Price,Miner
40,"Antminer L3++ 580MH/S ASIC Litecoin Miner, Scrypt LTC Miner Machine, Professional Miner Supplier",1549.0, AntMiner L3+
41,"ANTMINER Litecoin Mining Machine, L3++ 580mh/s 942W LTC Doge Miner Asic Miner, Include Extra Fan and Data Cable",1549.0, AntMiner L3+
42,"ANTMINER L3++ 580MH/S, Scrypt Miner LTC Litecion & Doge Mining Machine ASIC Chip Miner, Include Extra Fan and Data Cable",1549.0, AntMiner L3+
43,"Antminer L3++ 580MH/S Litecoin Miner, Scrypt LTC Dogecoin Mining Machine ASIC Miner Ready to Ship Now",1549.0, AntMiner L3+
44,"HUI YOU Bitcoin Miner APW7 110V- 1000W Antminer 220V-1800W Power Supply 10-pin Connect Bitmain Power Supply,Power Supply for Antminer L3+ for Bitcoin Mining Hardware,110V-220V Input FBA Shipping",149.99, AntMiner L3+
45,"Antminer L3++ 580MH/S ASIC Litecoin Miner, Scrypt LTC Miner Machine, Professional Miner Supplier",1549.0, AntMiner L3+
46,ANTMINER L3+ 504M/S Scrypt Litecoin Miner LTC Dogeoin Mining Machine Better Than ANTMINER L3 S9 S9i,1398.98, AntMiner L3+
47,"HUI YOU Professional Miner Supplier,AntMiner L3+ ~504MH/s @ 1.6W/MH ASIC Litecoin Miner FBA Shipping",1299.99, AntMiner L3+
48,FUIKEING 50Pcs 6-Pin Connector Power Connector Looper for Asic Miner Antminer S9 S9K S9J DR3 T9 Z11 Z9 B7 X3 A4 A9 M3 E10.2,16.99, AntMiner S9k
49,"ANTMINER S9j Bitcoin Miner, 14.5TH/S BTC @.098 J/GH Miner Machine Most Efficient Bitcoin Miner Machine",849.99, AntMiner S9j
50,"ANTMINER S9J 14.5TH/s Bitcoin Mining Machine, Bitcoin Miner ASIC SHA-256 BTC BCH Miner Algorithm with a Maximum Hashrate",859.93, AntMiner S9j
51,"ANTMINER S9j Bitcoin Miner, 14.5TH/S BTC @.098 J/GH Miner Machine Most Efficient Bitcoin Miner Machine",849.99, AntMiner S9j
52,Bitmain Antminer Power Supply APW7 PSU 1800w 110v 220v Much Better Than APW3++ for S9 or L3+ or Z9 Mini or D3 w/ 10 Connectors,158.99, AntMiner S9
53,Antminer Bitmain Power Supply 2000W 2U 110V for S9 or L3+ or Z9 Mini or D3 w/ 10 Connectors ETH BTC LTC Mining PSU,159.99, AntMiner S9
54,Antminer S9 Bitcoin Miner,788.0, AntMiner S9
55,Antminer S9 ~13TH/s @0.1 W/GH 16nm ASIC Bitcoin Miner with APW3+-12-1600 PSU,919.0, AntMiner S9
56,Antminer S9 ~14.0TH/s @ .096W/GH 16nm ASIC Bitcoin Miner 189pcs BM1387,988.0, AntMiner S9
57,AntMiner APW3++ PSU Power Supply S9 L3 Bitcoin Miner Miners Mining,184.0, AntMiner S9
58,"ANTMINER S9j Bitcoin Miner, 14.5TH/S BTC @.098 J/GH Miner Machine Most Efficient Bitcoin Miner Machine",849.99, AntMiner S9
59,"ANTMINER S9J 14.5TH/s Bitcoin Mining Machine, Bitcoin Miner ASIC SHA-256 BTC BCH Miner Algorithm with a Maximum Hashrate",859.93, AntMiner S9
60,"Bitcoin 1800W Power Supply for Antminer Bitmain APW7 PSU 1000W-1800W Mining Hardware 6-Pin Connect 110V-220V for Antminer S9 or L3+ or Z9 Mini or D3 for Bitcoin Mining Hardware,with 10 Connectors",176.95, AntMiner S9
61,"12V 166A AC110-240V 10x6pin 2000W PSU,for Bitmain Antminer S9 S7 L3 BTC LTC ETH Mining Power Supply",169.59, AntMiner S9
62,"Bitcoin 1800W Power Supply for Antminer Bitmain APW7 PSU 1000W-1800W Mining Hardware 6-Pin Connect 110V-220V for Antminer S9 or L3+ or Z9 Mini or D3 for Bitcoin Mining Hardware,with 10 Connectors",176.95, AntMiner S9
63,Antminer S9i 14TH/s 16nm ASIC BTC Bitcoin Miner,1039.0, AntMiner S9i
64,ANTMINER L3+ 504M/S Scrypt Litecoin Miner LTC Dogeoin Mining Machine Better Than ANTMINER L3 S9 S9i,1398.98, AntMiner S9i
65,"ANTMINER L3++ 580MH/S Litecoin Miner, Scrypt LTC Dogecoin Mining Machine ASIC Miner Include an Extra Fan & A Data Cable, Better Than ANTMINER L3 L3+ S9 S9i",1549.0, AntMiner S9i
66,Bitmain Antminer Power Supply APW7 PSU 1800w 110v 220v Much Better Than APW3++ for S9 or L3+ or Z9 Mini or D3 w/ 10 Connectors,158.99, AntMiner D3
67,"Bitcoin 1800W Power Supply for Antminer Bitmain APW7 PSU 1000W-1800W Mining Hardware 6-Pin Connect 110V-220V for Antminer S9 or L3+ or Z9 Mini or D3 for Bitcoin Mining Hardware,with 10 Connectors",176.95, AntMiner D3
68,Antminer Bitmain Power Supply 2000W 2U 110V for S9 or L3+ or Z9 Mini or D3 w/ 10 Connectors ETH BTC LTC Mining PSU,159.99, AntMiner D3
69,Antminer Power Supply APW7 PSU 1800w 110v 220v for Antminer BTC Miner S7 S9 L3 A6 A7 or Z9 Mini or D3 with10 Connectors,148.99, AntMiner D3
70,HVVH Dual Ball Bearings High Speed Durable 4 Pin DC 12V 5A 7000 RPM Cooling Fan Brushless Replacement Case Fan for Antminer Bitmain S7 S9 D3 L3 E9 T9 etc All BTC Miner Server (5A 7000RPM),21.99, AntMiner D3
